,teen_dose0,teen_dose1,teen_dose2-full,teen_dose2-waned-1,teen_dose2-waned-2,teen_dose2-waned-3,teen_dose3-full,teen_dose3-waned,adu_dose0,adu_dose1,adu_dose2-full,adu_dose2-waned-1,adu_dose2-waned-2,adu_dose2-waned-3,adu_dose3-full,adu_dose3-waned,sen_dose0,sen_dose1,sen_dose2-full,sen_dose2-waned-1,sen_dose2-waned-2,sen_dose2-waned-3,sen_dose3-full,sen_dose3-waned,time,date,week
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-30,2021-05-30,21
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-31,2021-05-31,22
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-01,2021-06-01,22
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-02,2021-06-02,22
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-03,2021-06-03,22
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-04,2021-06-04,22
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-06-05,2021-06-05,22
7,0.9967115445108524,0.0027566844919786095,0.00026502044668134635,0.00017080843032400125,6.684491978609626e-05,2.6580685750235923e-05,0.0,0.0,0.6694797993492407,0.22671369305856834,0.0503847885032538,0.031168682212581345,0.009537445770065076,0.01270463665943601,0.0,0.0,0.21672507990782724,0.27641529770311457,0.13216390396194158,0.22685482791942319,0.0941972050843678,0.053619044079387494,0.0,7.433286255853714e-08,2021-06-06,2021-06-06,22
8,0.9965237496067946,0.0029292230261088394,0.0002716262975778547,0.00017851525636992764,6.637307329348852e-05,2.799622522805914e-05,0.0,0.0,0.6632793926247289,0.23200333514099783,0.049247776572668114,0.032943953362255966,0.009435710412147505,0.01307990780911063,0.0,0.0,0.21547881513417083,0.27646874303129415,0.1253033524121014,0.23125325206273695,0.09346554671820412,0.05800877127778191,0.0,7.433286255853714e-08,2021-06-07,2021-06-07,23
9,0.9963178672538534,0.003110254797106008,0.00028483799937087135,0.0001873230575652721,6.7316766278704e-05,3.004089336269267e-05,0.0,0.0,0.6541523318872018,0.23782817245119306,0.04989620390455531,0.035214560737527115,0.009388937093275488,0.013510601952277657,0.0,0.0,0.21263075150524047,0.27232334795212965,0.12145328179588195,0.2373673530067643,0.09312093956738274,0.06308414480041627,0.0,7.433286255853714e-08,2021-06-08,2021-06-08,23
10,0.9959970116388801,0.0034010695187165776,0.0003026108839257628,0.00019691726958162944,6.841774142812206e-05,3.161371500471847e-05,0.0,0.0,0.644656548264642,0.2438994305856833,0.05052291214750542,0.037612445770065076,0.009393465292841649,0.013906588937093275,0.0,0.0,0.2099098714041478,0.2683906191927451,0.11778250204415372,0.24272080576823013,0.09311157362670036,0.06806518992046384,0.0,7.433286255853714e-08,2021-06-09,2021-06-09,23
11,0.9957586505190311,0.003614815979867883,0.0003104749921358918,0.00021154451085246933,6.65303554576911e-05,3.570305127398553e-05,0.0,0.0,0.6344375677874187,0.25013874728850327,0.05111212039045553,0.040479202819956615,0.009355450108459869,0.01446862798264642,0.0,0.0,0.2065471270348621,0.26378659035159446,0.11528580985653758,0.24717163457964766,0.09379045566044748,0.07340005946629005,0.0,7.433286255853714e-08,2021-06-10,2021-06-10,23
