scale2,loglikelihood
0.9,-3785.1443978977295
0.92,-3329.3032533084283
0.9400000000000001,-3016.3380484277504
0.9600000000000001,-2831.8395020142793
0.9800000000000001,-2344.575213147308
1.0,-1806.6907355908816
1.02,-1567.3571826990963
1.04,-1257.462224905608
1.06,-1111.1538816701745
1.08,-857.3433883411917
1.1,-639.7712268776436
1.12,-640.2566802324523
1.1400000000000001,-479.6243797284926
1.1600000000000001,-488.5703793741062
1.1800000000000002,-503.8566246601301
1.2000000000000002,-583.5269699057781
1.2200000000000002,-737.1244917648969
1.2400000000000002,-815.7783189246171
1.2600000000000002,-1244.0132636188844
1.2800000000000002,-1693.0154355671427
