scale2,loglikelihood
0.4,-1026.4339294129222
0.42000000000000004,-900.3663773392775
0.44000000000000006,-784.6864229402403
0.4600000000000001,-707.685399145922
0.4800000000000001,-632.7087865130575
0.5000000000000001,-534.8499304662756
0.5200000000000001,-484.4230434516259
0.5400000000000001,-420.7488661933989
0.5600000000000002,-372.2247326447545
0.5800000000000002,-350.77048358356205
0.6000000000000002,-338.126960764761
0.6200000000000002,-338.0634283758618
0.6400000000000002,-382.0342013030417
0.6600000000000003,-395.1735243790575
0.6800000000000003,-457.82294649280607
0.7000000000000003,-545.6835851747604
0.7200000000000003,-671.6403530626437
0.7400000000000003,-866.4363084783374
