scale2,loglikelihood
1.1,-3544.402863211559
1.12,-3224.721286380719
1.1400000000000001,-2920.485696116688
1.1600000000000001,-2795.0997603445253
1.1800000000000002,-2440.3354627451026
1.2000000000000002,-2046.884079331468
1.2200000000000002,-2111.0784512160967
1.2400000000000002,-1841.4580685649855
1.2600000000000002,-1796.304415688383
1.2800000000000002,-1624.6121847515901
1.3000000000000003,-1485.5492186540055
1.3200000000000003,-1387.8378026749433
1.3400000000000003,-1368.451732577239
1.3600000000000003,-1272.2088930178254
1.3800000000000003,-1245.1385400417687
1.4000000000000004,-1233.0797051382876
1.4200000000000004,-1254.374139084109
1.4400000000000004,-1291.7093196283388
1.4600000000000004,-1332.290662754434
1.4800000000000004,-1411.4001429342957
