scale2,loglikelihood
1.1,-567.4415433073625
1.12,-557.6340025596347
1.1400000000000001,-503.0301239051078
1.1600000000000001,-501.27553557503546
1.1800000000000002,-470.4659588684564
1.2000000000000002,-454.0711244238019
1.2200000000000002,-442.77625191389575
1.2400000000000002,-421.83126821663063
1.2600000000000002,-408.54993046247705
1.2800000000000002,-406.21695965953467
1.3000000000000003,-400.585278257227
1.3200000000000003,-388.0755286284668
1.3400000000000003,-392.94102999569077
1.3600000000000003,-385.9320840316719
1.3800000000000003,-403.98053812607117
1.4000000000000004,-408.93698778924045
1.4200000000000004,-406.7631854052956
1.4400000000000004,-408.17827340025735
1.4600000000000004,-434.11124673194314
1.4800000000000004,-441.7072768029355
