scale2,loglikelihood
0.7,-4287.480749896403
0.72,-3631.1085963891287
0.74,-3016.237553165956
0.76,-2422.2405392388055
0.78,-2137.2184750631154
0.8,-1741.5422264117344
0.8200000000000001,-1320.0393510134145
0.8400000000000001,-1160.2369029691097
0.8600000000000001,-1071.542291745153
0.8800000000000001,-1045.6343416794543
0.9000000000000001,-1111.011614514176
0.9200000000000002,-1292.977450212343
0.9400000000000002,-1636.4607996289994
0.9600000000000002,-2137.220900241227
0.9800000000000002,-2608.9672258469345
1.0000000000000002,-3222.805749723549
