scale2,loglikelihood
0.8,-3785.460515860276
0.8200000000000001,-3115.168450626646
0.8400000000000001,-2740.0103103518322
0.8600000000000001,-2185.8877356296553
0.8800000000000001,-1996.4513128367748
0.9000000000000001,-1614.6104164804892
0.9200000000000002,-1190.393461694766
0.9400000000000002,-1042.8038532921732
0.9600000000000002,-901.9095665800289
0.9800000000000002,-824.6224380338743
1.0000000000000002,-763.1954858266226
1.0200000000000002,-692.208019042445
1.0400000000000003,-650.4816973940945
1.0600000000000003,-840.4898393386828
1.0800000000000003,-906.0234632610262
1.1000000000000003,-946.2686932971073
1.1200000000000003,-1518.5753791808636
1.1400000000000003,-1807.3095324445392
1.1600000000000004,-2474.4997024831055
1.1800000000000004,-3017.3004752708102
