scale2,loglikelihood
0.8,-1300.7527413311298
0.8200000000000001,-1240.8018597790592
0.8400000000000001,-1111.0129474085925
0.8600000000000001,-994.9372203070659
0.8800000000000001,-899.6953872352786
0.9000000000000001,-907.9891512484104
0.9200000000000002,-836.8422973075886
0.9400000000000002,-707.2068159453933
0.9600000000000002,-676.6833760812033
0.9800000000000002,-645.0006330797313
1.0000000000000002,-621.7370275816232
1.0200000000000002,-590.7823473577805
1.0400000000000003,-599.3773227481676
1.0600000000000003,-594.7709015803904
1.0800000000000003,-603.1514866710588
1.1000000000000003,-641.3811809869818
1.1200000000000003,-677.4857446755452
1.1400000000000003,-730.662551461004
1.1600000000000004,-771.3681548272523
1.1800000000000004,-900.7741392825047
