time,median
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.01887225868350484
2022-01-16,0.018917740203163537
2022-01-17,0.023369657082584414
2022-01-18,0.025838664631191846
2022-01-19,0.02855044135145575
2022-01-20,0.03156603331142248
2022-01-21,0.034943336169747624
2022-01-22,0.038650265562625866
2022-01-23,0.04267184495164294
2022-01-24,0.047141315302736686
2022-01-25,0.05181587555490165
2022-01-26,0.0571715538146334
2022-01-27,0.06284577778415751
2022-01-28,0.06918962109214763
2022-01-29,0.07606634645047627
2022-01-30,0.0833450794701842
2022-01-31,0.09134491444607633
2022-02-01,0.10029855307784746
2022-02-02,0.10962266775786457
2022-02-03,0.11947105142487174
2022-02-04,0.1302523215788683
2022-02-05,0.14185133106234654
2022-02-06,0.15412408591639454
2022-02-07,0.16717196192087602
2022-02-08,0.18102996040388145
2022-02-09,0.19611369904271786
2022-02-10,0.21135644063303505
2022-02-11,0.2280599661768597
2022-02-12,0.2456691043806993
2022-02-13,0.2636282855047041
2022-02-14,0.2824732621516559
2022-02-15,0.3031964529679617
2022-02-16,0.3237270659812709
2022-02-17,0.3462887337905129
2022-02-18,0.3683345801371115
2022-02-19,0.3919241068188811
2022-02-20,0.4161261510061772
2022-02-21,0.4400909152761989
2022-02-22,0.4652156895759093
2022-02-23,0.4899196776919679
2022-02-24,0.515584667211634
2022-02-25,0.5407667383569961
2022-02-26,0.565963332359604
2022-02-27,0.5906861790091433
2022-02-28,0.6149743527810752
2022-03-01,0.6388948296593094
2022-03-02,0.6620571274272555
2022-03-03,0.6848407688219944
2022-03-04,0.7063016206886129
2022-03-05,0.7271057427891843
2022-03-06,0.7470347453766886
2022-03-07,0.7658066085793007
2022-03-08,0.7833877543688841
2022-03-09,0.8002836391203966
2022-03-10,0.8155038707400444
2022-03-11,0.8301706484631302
2022-03-12,0.8434104282937519
2022-03-13,0.8558338823004903
2022-03-14,0.8673950609136244
2022-03-15,0.8782024067935768
2022-03-16,0.8883686919521795
2022-03-17,0.8977538863392689
2022-03-18,0.9061179469641046
2022-03-19,0.9141670832462568
2022-03-20,0.921415711818217
2022-03-21,0.928352572643062
2022-03-22,0.9344807441669962
2022-03-23,0.9402465829409286
2022-03-24,0.9454828111286208
2022-03-25,0.950268899921284
2022-03-26,0.9546583028422456
2022-03-27,0.9588091490568352
2022-03-28,0.9623719472388448
2022-03-29,0.965689114833395
2022-03-30,0.968748496940775
2022-03-31,0.9715862748577472
2022-04-01,0.9740002379729016
2022-04-02,0.9764218704978326
2022-04-03,0.9784418883140612
2022-04-04,0.980464183607456
2022-04-05,0.9821518372054036
2022-04-06,0.9837433456708748
2022-04-07,0.9850794526941559
2022-04-08,0.9864703206690636
2022-04-09,0.9876475125413172
2022-04-10,0.9887121720999129
2022-04-11,0.9897576180708402
2022-04-12,0.9906079555096949
2022-04-13,0.991425599028624
2022-04-14,0.9921476125987014
2022-04-15,0.9928490972420004
2022-04-16,0.9934615725807244
2022-04-17,0.9940115296242908
2022-04-18,0.9945566273595692
2022-04-19,0.9950149129875276
2022-04-20,0.9954274519709619
2022-04-21,0.995881691940678
2022-04-22,0.9961511436728332
2022-04-23,0.9965411657330971
2022-04-24,0.9968266785906024
2022-04-25,0.9971190830247008
2022-04-26,0.9973645581011076
2022-04-27,0.9975871730626846
2022-04-28,0.9978187061300564
2022-04-29,0.9980006692353832
2022-04-30,0.9981836171141728
2022-05-01,0.9983191637755224
2022-05-02,0.9985035954726716
2022-05-03,0.9986337590538006
2022-05-04,0.998766470878976
2022-05-05,0.9988553277636396
2022-05-06,0.9989344629956418
2022-05-07,0.9990573970671348
2022-05-08,0.999129817826416
2022-05-09,0.9991952952114322
2022-05-10,0.9993017523912264
2022-05-11,0.999331080531218
2022-05-12,0.999391775584782
2022-05-13,0.9994637858146151
2022-05-14,0.9995025486877972
2022-05-15,0.999549233152054
2022-05-16,0.9996001356753124
