id,dept,reg
0,75,11
1,69,84
2,13,93
1010,01,84
1020,01,84
1030,01,84
1040,01,84
1050,01,84
1060,01,84
1070,01,84
1080,01,84
1090,01,84
1100,01,84
1110,01,84
1120,01,84
1130,01,84
2010,2A,94
2020,2B,94
2030,2B,94
2040,2A,94
2050,2B,94
2060,2B,94
2070,2B,94
2080,2B,94
2090,2B,94
2100,02,32
2110,02,32
2120,02,32
2130,02,32
2140,02,32
2150,02,32
2160,02,32
2170,02,32
2180,02,32
2190,02,32
2200,02,32
2210,02,32
2220,02,32
2230,02,32
2240,02,32
2250,02,32
2260,02,32
2270,02,32
2280,02,32
2290,02,32
3010,03,84
3020,03,84
3030,03,84
3040,03,84
3050,03,84
3060,03,84
3070,03,84
3080,03,84
3090,03,84
3100,03,84
3110,03,84
3120,03,84
4010,04,93
4020,04,93
4030,04,93
4040,04,93
4050,04,93
4060,04,93
4070,04,93
4080,04,93
4090,04,93
4100,04,93
4110,04,93
5010,05,93
5020,05,93
5030,05,93
5040,05,93
5060,05,93
5070,05,93
5080,05,93
5090,05,93
5100,05,93
5110,05,93
6010,06,93
6020,06,93
6031,06,93
6032,06,93
6041,06,93
6042,06,93
6043,06,93
6050,06,93
6060,06,93
6070,06,93
6080,06,93
7010,07,84
7020,07,84
7030,07,84
7040,07,84
7050,07,84
7060,07,84
7070,07,84
7080,07,84
7090,07,84
7100,07,84
7110,07,84
8010,08,44
8020,08,44
8030,08,44
8040,08,44
8050,08,44
8060,08,44
8070,08,44
8080,08,44
9010,09,76
9020,09,76
9030,09,76
9040,09,76
9050,09,76
9060,09,76
9070,09,76
9080,09,76
9090,09,76
9100,09,76
10010,10,44
10020,10,44
10030,10,44
10040,10,44
10050,10,44
10060,10,44
10070,10,44
10080,10,44
10090,10,44
10100,10,44
10110,10,44
10120,10,44
11010,11,76
11020,11,76
11030,11,76
11040,11,76
11050,11,76
11060,11,76
11070,11,76
11080,11,76
11090,11,76
12010,12,76
12020,12,76
12030,12,76
12040,12,76
12050,12,76
12060,12,76
12070,12,76
12080,12,76
12090,12,76
12100,12,76
12110,12,76
12120,12,76
12130,12,76
12140,12,76
12150,12,76
12160,12,76
12170,12,76
12180,12,76
12190,12,76
12200,12,76
13010,13,93
13020,13,93
13070,13,93
13080,13,93
13090,13,93
13100,13,93
13110,13,93
13120,13,93
13130,13,93
13141,13,93
13142,13,93
13143,13,93
13144,13,93
13150,13,93
13162,13,93
13170,13,93
14010,14,28
14020,14,28
14030,14,28
14040,14,28
14050,14,28
14060,14,28
14070,14,28
14080,14,28
14090,14,28
14100,14,28
14110,14,28
14120,14,28
14130,14,28
14140,14,28
14150,14,28
15010,15,84
15020,15,84
15030,15,84
15040,15,84
15050,15,84
15060,15,84
15070,15,84
15080,15,84
15090,15,84
15100,15,84
15110,15,84
15120,15,84
15130,15,84
16010,16,75
16020,16,75
16030,16,75
16040,16,75
16050,16,75
16060,16,75
16070,16,75
16080,16,75
16090,16,75
16100,16,75
16110,16,75
16120,16,75
17010,17,75
17020,17,75
17030,17,75
17040,17,75
17050,17,75
17060,17,75
17070,17,75
17080,17,75
17090,17,75
17100,17,75
17110,17,75
17120,17,75
17130,17,75
18010,18,24
18020,18,24
18030,18,24
18040,18,24
18050,18,24
18060,18,24
18070,18,24
18080,18,24
18090,18,24
18100,18,24
18110,18,24
18120,18,24
18130,18,24
18140,18,24
18150,18,24
19010,19,75
19020,19,75
19030,19,75
19040,19,75
19050,19,75
19060,19,75
19070,19,75
19080,19,75
19090,19,75
21010,21,27
21020,21,27
21030,21,27
21040,21,27
21050,21,27
21060,21,27
21070,21,27
21080,21,27
21090,21,27
21100,21,27
21110,21,27
21120,21,27
21130,21,27
21140,21,27
21150,21,27
21160,21,27
21170,21,27
21180,21,27
21190,21,27
22010,29,53
22020,22,53
22030,22,53
22040,22,53
22050,22,53
22060,22,53
22070,22,53
22080,35,53
22090,22,53
22100,35,53
22110,22,53
22120,22,53
22130,22,53
22140,22,53
22150,22,53
22160,22,53
22170,22,53
22180,22,53
22190,22,53
22200,22,53
22210,22,53
22220,22,53
22230,22,53
22240,22,53
23010,23,75
23020,23,75
23030,23,75
23040,23,75
23050,23,75
23060,23,75
23070,23,75
23080,23,75
23090,23,75
23100,23,75
23110,23,75
24010,24,75
24020,24,75
24030,24,75
24040,24,75
24050,24,75
24060,24,75
24070,24,75
24080,24,75
24090,24,75
24100,24,75
24110,24,75
24120,24,75
24130,24,75
24140,24,75
24150,24,75
24160,24,75
24170,24,75
25010,25,27
25020,25,27
25030,25,27
25040,25,27
25050,25,27
25060,25,27
25070,25,27
25080,25,27
25090,25,27
25100,25,27
25110,25,27
25120,25,27
25130,25,27
25140,25,27
25150,25,27
26010,26,84
26020,26,84
26030,26,84
26040,26,84
26050,26,84
26060,26,84
26070,26,84
26080,26,84
26090,26,84
26100,26,84
27010,27,28
27020,27,28
27030,27,28
27040,27,28
27050,27,28
27060,27,28
27070,27,28
27080,27,28
27090,27,28
27100,27,28
27110,27,28
27120,27,28
27130,27,28
27140,27,28
27150,27,28
27160,14,28
28010,28,24
28020,28,24
28030,28,24
28040,28,24
28050,28,24
28060,28,24
28070,28,24
28080,28,24
28090,28,24
28100,28,24
28110,28,24
28120,28,24
28130,28,24
29010,29,53
29020,29,53
29030,29,53
29040,29,53
29050,29,53
29060,29,53
29070,29,53
29080,29,53
29090,29,53
29100,29,53
29110,29,53
29120,29,53
29130,29,53
29140,29,53
29150,29,53
29160,29,53
29170,29,53
29180,29,53
29190,29,53
29200,29,53
29210,29,53
29220,29,53
30010,30,76
30020,30,76
30030,30,76
30040,30,76
30050,30,76
30060,30,76
30070,30,76
30080,30,76
30090,30,76
30100,30,76
30110,30,76
30120,30,76
30130,30,76
31010,31,76
31020,31,76
31030,31,76
31040,31,76
31050,31,76
31060,31,76
31070,31,76
31081,31,76
31082,31,76
31083,31,76
31084,31,76
31090,31,76
31101,31,76
31102,31,76
31111,31,76
31112,31,76
31120,31,76
32010,32,76
32020,32,76
32030,32,76
32040,32,76
32050,32,76
32060,32,76
32070,32,76
32080,32,76
32090,32,76
32100,32,76
32110,32,76
32120,32,76
33010,33,75
33020,33,75
33030,33,75
33040,33,75
33050,33,75
33060,33,75
33070,33,75
33080,33,75
33090,33,75
33100,33,75
33111,33,75
33112,33,75
33113,33,75
33114,33,75
33115,33,75
33120,33,75
33130,33,75
33140,33,75
33150,33,75
33160,33,75
33170,33,75
33180,33,75
33190,33,75
33200,33,75
33210,33,75
34010,34,76
34020,34,76
34030,34,76
34040,34,76
34050,34,76
34060,34,76
34070,34,76
34080,34,76
34090,34,76
34100,34,76
34110,34,76
34120,34,76
34130,34,76
34140,34,76
35010,35,53
35020,35,53
35030,35,53
35040,35,53
35050,35,53
35060,35,53
35070,35,53
35080,35,53
35090,35,53
35100,35,53
35110,35,53
35121,35,53
35122,35,53
35123,35,53
35124,35,53
35130,35,53
36010,36,24
36020,36,24
36030,36,24
36040,36,24
36050,36,24
36060,36,24
36070,36,24
36080,36,24
36090,36,24
36100,36,24
